,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
120,Castro,37.75849000000005,-122.43476999999996,Thai House Express,46a24448f964a52029491fe3,37.759368588947524,-122.43484238906379,Thai Restaurant,127
123,Japantown,37.785420000000045,-122.42971999999997,Kiss Seafood,46b3377df964a520a3491fe3,37.78677261614262,-122.42845804316957,Sushi Restaurant,36
125,Parnassus,37.76276000000007,-122.46045999999996,Lime Tree Southeast Asian Kitchen,471de6f7f964a520ba4b1fe3,37.76423729392707,-122.46276895397483,Asian Restaurant,102
126,Fillmore,37.78415997388794,-122.43316995614289,SPQR,4744d11ff964a520854c1fe3,37.78728690606852,-122.43360621510921,Italian Restaurant,352
129,Dogpatch,37.75946000000005,-122.39035999999999,Serpentine,47629427f964a520e54c1fe3,37.75808150267882,-122.38811373710631,American Restaurant,394
130,Ashbury Heights,37.76467000000008,-122.44586999999996,Grandeho's Kamekyo,47a7710ff964a5208c4d1fe3,37.76524152219527,-122.44997759160609,Sushi Restaurant,17
131,Lower Haight,37.772730000000024,-122.43309999999997,Uva Enoteca,48b5de88f964a520b7511fe3,37.77201109794026,-122.4315560597662,Italian Restaurant,214
134,Mission District,37.759930000000054,-122.41807999999997,San Jalisco,48fdd3d8f964a52055521fe3,37.75876703677013,-122.41683124630434,Mexican Restaurant,199
135,Parnassus,37.76276000000007,-122.46045999999996,Lavash,49b3268cf964a520e1521fe3,37.76410108238398,-122.4635154314012,Middle Eastern Restaurant,161
136,Belden Place,37.7912745,-122.40378675000001,Yank Sing,49b5b56af964a520fd521fe3,37.789826,-122.399495,Dim Sum Restaurant,396
137,Mission Dolores,37.76481000000007,-122.42359999999996,Panchita's Pupuseria Restaurant #2,49ba1cbdf964a5205d531fe3,37.764824,-122.421626,Latin American Restaurant,279
138,Cow Hollow,37.79825000000005,-122.43572999999998,Alegrias,49baf390f964a520ca531fe3,37.800049198869,-122.43474193504093,Spanish Restaurant,50
140,Inner Sunset,37.762110000000064,-122.46885999999995,Marnee Thai,49bb1b50f964a520d3531fe3,37.76520868151137,-122.4664750220258,Thai Restaurant,177
141,Design District,37.77853007328749,-122.39321008050078,Chili Lemon Garlic Thai Cafe,49c5c585f964a52023571fe3,37.78099977628684,-122.39636320908787,Thai Restaurant,45
142,Duboce Triangle,37.76932000000005,-122.43145999999996,El Castillito,49c6c22bf964a5207a571fe3,37.7687639,-122.4293081,Mexican Restaurant,301
143,North Beach,37.799090000000035,-122.40844999999996,Calzone's Pizza Cucina,49c9a70bf964a5208e581fe3,37.799048,-122.408195,Italian Restaurant,254
146,Hayes Valley,37.77428000000003,-122.42832999999996,Domo Sushi,49ce86fff964a520515a1fe3,37.775950987226544,-122.42615120612774,Sushi Restaurant,490
148,Marina District,37.80315000000007,-122.43674999999996,Pacific Catch,49d050a3f964a5201c5b1fe3,37.800667,-122.436775,Seafood Restaurant,250
150,Mid-Market,37.79098449478979,-122.39922052301995,Anchor & Hope,49d111f5f964a520575b1fe3,37.78770334136478,-122.39896963473885,Seafood Restaurant,475
151,Duboce Triangle,37.76932000000005,-122.43145999999996,Jasmine Garden,49d183b8f964a5208d5b1fe3,37.76769379927239,-122.42924321500816,Vietnamese Restaurant,216
152,Duboce Triangle,37.76932000000005,-122.43145999999996,L'Ardoise,49d30c0ff964a520e85b1fe3,37.766674548230164,-122.43326095822378,French Restaurant,201
154,Pacific Heights,37.79291000000006,-122.43463999999994,Chouquet's,49d64d88f964a520b25c1fe3,37.79158523287802,-122.43447894705898,French Restaurant,59
155,Little Saigon,37.78426,-122.417724,Morty's Delicatessen,49d66c4ef964a520c95c1fe3,37.78170972191677,-122.41524344957456,American Restaurant,36
159,Nob Hill,37.793360000000064,-122.41787,Olea,49da2865f964a520575e1fe3,37.7908686838535,-122.41900006220152,American Restaurant,140
160,Jackson Square,37.79708000000005,-122.39840999999996,Coi,49daac09f964a520a25e1fe3,37.798286594042985,-122.40352469475303,American Restaurant,108
163,Mission District,37.759930000000054,-122.41807999999997,Udupi Palace,49dad092f964a520b25e1fe3,37.75676871020177,-122.42108520192178,Indian Restaurant,340
164,Inner Sunset,37.762110000000064,-122.46885999999995,Pacific Catch,49dd5b31f964a520fe5f1fe3,37.76575706522955,-122.46632217005906,Seafood Restaurant,284
165,Little Saigon,37.78426,-122.417724,Lers Ros Thai,49dd8602f964a52018601fe3,37.78475865530321,-122.41781120656418,Thai Restaurant,731
167,Chinatown,37.795390000000054,-122.40811999999994,Taqueria Zorro,49de5ffdf964a52049601fe3,37.79800612884763,-122.4069727992469,Mexican Restaurant,64
170,Russian Hill,37.80203000000006,-122.41962999999998,La Folie,49e04b9af964a5204f611fe3,37.798147,-122.42201,French Restaurant,98
171,North Beach,37.799090000000035,-122.40844999999996,Tommaso's,49e05c38f964a52052611fe3,37.797806,-122.405316,Italian Restaurant,95
176,Mid-Market,37.79098449478979,-122.39922052301995,Akiko’s Restaurant & Sushi Bar,49e7e380f964a52027651fe3,37.790623,-122.404657,Sushi Restaurant,393
179,Little Saigon,37.78426,-122.417724,House of Thai,49e95478f964a520f1651fe3,37.786188482627075,-122.41816498658896,Thai Restaurant,111
182,Sea Cliff,37.78626000000003,-122.48517999999996,Hard Knox Cafe,49eb6c30f964a520d7661fe3,37.78199566969189,-122.48582180026017,Southern / Soul Food Restaurant,104
183,Rincon Hill,37.785748500000004,-122.3924445,Delancey Street Restaurant,49ec92dff964a5206a671fe3,37.7845679368031,-122.38845686331636,American Restaurant,161
185,Castro,37.75849000000005,-122.43476999999996,Kasa Indian Eatery,49ecf1def964a520b3671fe3,37.76104350446926,-122.43293051337922,Indian Restaurant,191
187,Lake Street,37.785060000000044,-122.46403999999995,Kitchen Istanbul,49ed2342f964a520cb671fe3,37.78294319653059,-122.46330393358751,Turkish Restaurant,137
188,Financial District South,37.795780000000036,-122.40047999999996,R&G Lounge 嶺南小館,49efa893f964a520e5681fe3,37.79407153466883,-122.40472405865627,Cantonese Restaurant,655
192,Mission Dolores,37.76481000000007,-122.42359999999996,El Toro Taqueria,49efc205f964a52004691fe3,37.76333630778487,-122.4219010406445,Mexican Restaurant,140
193,Little Saigon,37.78426,-122.417724,El Super Burrito,49f13df7f964a520a3691fe3,37.787846679584625,-122.4200723192896,Mexican Restaurant,61
194,Little Saigon,37.78426,-122.417724,Brenda's French Soul Food,49f356f8f964a5208a6a1fe3,37.782896409128426,-122.41889744997026,Southern / Soul Food Restaurant,1184
197,Noe Valley,37.75160000000005,-122.42907999999994,Peasant Pies,49f5f683f964a520e06b1fe3,37.751322665993854,-122.43447011232143,Restaurant,38
198,Belden Place,37.7912745,-122.40378675000001,Tadich Grill,49f67c43f964a520486c1fe3,37.793185959993274,-122.3992153997843,Seafood Restaurant,399
199,Russian Hill,37.80203000000006,-122.41962999999998,Amarena,49f75320f964a520826c1fe3,37.798003807051685,-122.42048005662232,Italian Restaurant,76
200,Mission Bay,37.76690000000008,-122.38978999999995,Peasant Pies,49f798cff964a520c26c1fe3,37.76884480586581,-122.39010461379029,American Restaurant,25
202,Inner Sunset,37.762110000000064,-122.46885999999995,Enjoy Vegetarian Restaurant,49f916c7f964a520606d1fe3,37.76027318870817,-122.4691326820007,Vegetarian / Vegan Restaurant,30
203,West Portal,37.739900000000034,-122.46748999999994,Roti Indian Bistro,49fa41c3f964a520e16d1fe3,37.74027348582191,-122.4663416193992,Indian Restaurant,68
204,Mission Dolores,37.76481000000007,-122.42359999999996,Pakwan,49fd1ce0f964a5200b6f1fe3,37.76489902919094,-122.42368140944069,Pakistani Restaurant,431
205,Cow Hollow,37.79825000000005,-122.43572999999998,Perry's,4a0499aaf964a5200d721fe3,37.797660967592364,-122.43127904143779,American Restaurant,144
206,Ashbury Heights,37.76467000000008,-122.44586999999996,Bambino's Ristorante,4a077c92f964a52064731fe3,37.765211388303435,-122.44996935421577,Italian Restaurant,25
207,Design District,37.77853007328749,-122.39321008050078,Little Skillet,4a0c561df964a52022751fe3,37.77889181818914,-122.39407145476254,Southern / Soul Food Restaurant,484
210,Cayuga Terrace,37.72300506949941,-122.43918145516166,Taquerias El Farolito,4a0e123af964a520c2751fe3,37.72122961664814,-122.43739536867459,Mexican Restaurant,99
211,Russian Hill,37.80203000000006,-122.41962999999998,Frascati,4a0f8354f964a52070761fe3,37.798278956210886,-122.41897443410139,Italian Restaurant,81
212,Inner Sunset,37.762110000000064,-122.46885999999995,Yumma's Mediterranean Grill,4a0f9701f964a52078761fe3,37.76407856225722,-122.46559609336906,Falafel Restaurant,42
214,Jackson Square,37.79708000000005,-122.39840999999996,Waterfront Restaurant,4a10af0af964a520f4761fe3,37.799346,-122.395618,Seafood Restaurant,171
216,Inner Sunset,37.762110000000064,-122.46885999999995,Park Gyros,4a10e48af964a52007771fe3,37.765789865650525,-122.46643062355781,Mediterranean Restaurant,68
217,Haight-Ashbury,37.769930000000045,-122.44691999999998,Siam Lotus Thai Cuisine,4a150ae5f964a52093781fe3,37.769495003337965,-122.45090094538122,Thai Restaurant,56
218,Noe Valley,37.75160000000005,-122.42907999999994,Hamano Sushi,4a19b62cf964a520387a1fe3,37.75085742670257,-122.4341215504447,Sushi Restaurant,79
219,Design District,37.77853007328749,-122.39321008050078,La Briciola,4a19b692f964a5203b7a1fe3,37.78151648840107,-122.39598957385486,Italian Restaurant,58
220,Jackson Square,37.79708000000005,-122.39840999999996,DELICA,4a1af485f964a520a87a1fe3,37.795556380547985,-122.39340796172814,Japanese Restaurant,122
222,Nob Hill,37.793360000000064,-122.41787,Allegro Romano,4a1f4d62f964a5201c7c1fe3,37.79683409087103,-122.41542040225445,Italian Restaurant,37
223,Fillmore,37.78415997388794,-122.43316995614289,Benkyodo,4a22141ff964a5205c7d1fe3,37.7864224820624,-122.43005263012587,Japanese Restaurant,105
226,South Park,37.78145000000006,-122.39385999999996,HRD,4a2937f2f964a52068951fe3,37.78104280505049,-122.39555929325681,Korean Restaurant,671
228,Bernal Heights,37.73903000000007,-122.41620999999998,Piqueo's,4a2debe9f964a52008981fe3,37.73890900918421,-122.41406056107112,Peruvian Restaurant,83
229,Pacific Heights,37.79291000000006,-122.43463999999994,Gamine,4a306c39f964a52067991fe3,37.797048104552175,-122.4359348443235,French Restaurant,138
231,Telegraph Hill,37.80175000000003,-122.40639999999996,Peña Pachamama,4a3087bbf964a52077991fe3,37.79979074167436,-122.41066430300056,South American Restaurant,32
233,Mission Dolores,37.76481000000007,-122.42359999999996,Taqueria Los Coyotes,4a335debf964a520299b1fe3,37.764967648133116,-122.42046485547546,Mexican Restaurant,206
234,South of Market,37.777570000000026,-122.40434999999997,Luce,4a34632ff964a5202c9c1fe3,37.781945,-122.404817,New American Restaurant,78
235,Cow Hollow,37.79825000000005,-122.43572999999998,Dragon Well,4a370901f964a520269e1fe3,37.800598018402574,-122.4386364552854,Chinese Restaurant,52
237,Parkside,37.73894000000007,-122.48389999999995,Kingdom of Dumpling,4a39a40bf964a520a69f1fe3,37.742675092234,-122.48467921243565,Dumpling Restaurant,323
238,North Beach,37.799090000000035,-122.40844999999996,Quince,4a3dd25bf964a520b1a21fe3,37.79741190944881,-122.40325807183305,New American Restaurant,194
243,Presidio Heights,37.79028000000005,-122.45165999999995,Magic Flute Ristorante,4a3e9f70f964a52027a31fe3,37.78732916317867,-122.45314856832933,American Restaurant,49
246,North of Panhandle,37.772550000000024,-122.44583999999998,Bistro Gambrinus,4a42e8c8f964a52066a61fe3,37.77567203663306,-122.44689848814848,Eastern European Restaurant,37
247,Hayes Valley,37.77428000000003,-122.42832999999996,Otoro Sushi,4a45ae19f964a52073a81fe3,37.77497378603595,-122.42290047871022,Sushi Restaurant,314
248,Financial District,37.795780000000036,-122.40047999999996,Hunan Home's Restaurant,4a47ee99f964a52053aa1fe3,37.79619251319602,-122.40558075645325,Chinese Restaurant,276
250,Tenderloin,37.78513000000004,-122.41450999999995,Sanraku,4a4acc3af964a52033ac1fe3,37.78877046964189,-122.41206745413582,Japanese Restaurant,410
252,South Beach,37.78630000000004,-122.39268999999996,Town Hall,4a4d0faaf964a52080ad1fe3,37.78943505121421,-122.39501292131817,American Restaurant,303
255,West Portal,37.739900000000034,-122.46748999999994,Mozzarella di Bufala,4a4d27d0f964a5209aad1fe3,37.7399885325088,-122.46653686048079,Brazilian Restaurant,44
256,Japantown,37.785420000000045,-122.42971999999997,Florio,4a516a11f964a52006b11fe3,37.78749587366603,-122.43362202570236,Italian Restaurant,54
259,Financial District South,37.795780000000036,-122.40047999999996,Yo Yo's,4a53b54af964a520a4b21fe3,37.79767960100749,-122.40110996822365,Japanese Restaurant,33
262,Bernal Heights,37.73903000000007,-122.41620999999998,Tacos Los Altos,4a57fd7ef964a52031b71fe3,37.73895157202308,-122.41499929126603,Mexican Restaurant,25
263,Cow Hollow,37.79825000000005,-122.43572999999998,Terzo,4a59485af964a5202cb91fe3,37.79709262453753,-122.43723592097093,Italian Restaurant,116
264,Noe Valley,37.75160000000005,-122.42907999999994,Fresca,4a5a59b5f964a52033ba1fe3,37.751508962333716,-122.43069125608424,Peruvian Restaurant,81
265,Mission Dolores,37.76481000000007,-122.42359999999996,Taqueria el Buen Sabor,4a5a98c5f964a5209fba1fe3,37.76176187868646,-122.42157018792683,Mexican Restaurant,226
267,Little Saigon,37.78426,-122.417724,Sai Jai Thai,4a5e0610f964a520eabd1fe3,37.785106,-122.417399,Thai Restaurant,113
269,Richmond District,37.78066000000007,-122.47088999999994,Ariake Sushi Bar,4a5ea637f964a520f9be1fe3,37.780532256479496,-122.4735794340479,Sushi Restaurant,34
